chunk_id,concept_id
msa_chk_00001,msa_con_00001
msa_chk_00002,msa_con_00002
msa_chk_00003,msa_con_00002
msa_chk_00004,msa_con_00002
msa_chk_00005,msa_con_00002
msa_chk_00006,msa_con_00002
msa_chk_00007,msa_con_00002
msa_chk_00008,msa_con_00002
msa_chk_00009,msa_con_00002
msa_chk_00010,msa_con_00003
msa_chk_00011,msa_con_00004
msa_chk_00012,msa_con_00005
msa_chk_00013,msa_con_00006
msa_chk_00014,msa_con_00007
msa_chk_00015,msa_con_00008
msa_chk_00016,msa_con_00009
msa_chk_00017,msa_con_00010
msa_chk_00018,msa_con_00011
msa_chk_00019,msa_con_00012
msa_chk_00020,msa_con_00013
msa_chk_00021,msa_con_00014
msa_chk_00022,msa_con_00015
msa_chk_00023,msa_con_00016
msa_chk_00024,msa_con_00017
msa_chk_00025,msa_con_00018
msa_chk_00026,msa_con_00019
msa_chk_00027,msa_con_00020
msa_chk_00028,msa_con_00021
msa_chk_00029,msa_con_00022
msa_chk_00030,msa_con_00023
msa_chk_00031,msa_con_00024
msa_chk_00032,msa_con_00025
msa_chk_00033,msa_con_00026
msa_chk_00034,msa_con_00027
msa_chk_00035,msa_con_00028
msa_chk_00036,msa_con_00029
msa_chk_00037,msa_con_00030
msa_chk_00038,msa_con_00031
msa_chk_00039,msa_con_00032
msa_chk_00040,msa_con_00033
msa_chk_00041,msa_con_00034
msa_chk_00042,msa_con_00035
msa_chk_00043,msa_con_00036
msa_chk_00044,msa_con_00037
msa_chk_00045,msa_con_00038
msa_chk_00046,msa_con_00039
msa_chk_00047,msa_con_00040
msa_chk_00048,msa_con_00041
msa_chk_00049,msa_con_00042
msa_chk_00050,msa_con_00043
msa_chk_00051,msa_con_00044
msa_chk_00052,msa_con_00045
msa_chk_00053,msa_con_00046
msa_chk_00054,msa_con_00047
msa_chk_00055,msa_con_00048
msa_chk_00056,msa_con_00049
msa_chk_00057,msa_con_00050
msa_chk_00058,msa_con_00051
msa_chk_00059,msa_con_00052
msa_chk_00060,msa_con_00053
msa_chk_00061,msa_con_00054
msa_chk_00062,msa_con_00055
msa_chk_00063,msa_con_00056
msa_chk_00064,msa_con_00057
msa_chk_00065,msa_con_00058
msa_chk_00066,msa_con_00059
msa_chk_00067,msa_con_00060
msa_chk_00068,msa_con_00061
msa_chk_00069,msa_con_00062
msa_chk_00070,msa_con_00063
msa_chk_00071,msa_con_00064
msa_chk_00072,msa_con_00065
msa_chk_00073,msa_con_00066
msa_chk_00074,msa_con_00067
msa_chk_00075,msa_con_00068
msa_chk_00076,msa_con_00069
msa_chk_00077,msa_con_00070
msa_chk_00078,msa_con_00071
msa_chk_00079,msa_con_00072
msa_chk_00080,msa_con_00073
msa_chk_00081,msa_con_00074
msa_chk_00082,msa_con_00075
msa_chk_00083,msa_con_00076
msa_chk_00084,msa_con_00077
msa_chk_00085,msa_con_00078
msa_chk_00086,msa_con_00079
msa_chk_00087,msa_con_00080
msa_chk_00088,msa_con_00081
msa_chk_00089,msa_con_00082
msa_chk_00090,msa_con_00083
msa_chk_00091,msa_con_00084
msa_chk_00092,msa_con_00085
msa_chk_00093,msa_con_00086
msa_chk_00094,msa_con_00087
msa_chk_00095,msa_con_00088
msa_chk_00096,msa_con_00089
msa_chk_00097,msa_con_00090
msa_chk_00098,msa_con_00091
msa_chk_00099,msa_con_00092
msa_chk_00100,msa_con_00093
msa_chk_00101,msa_con_00094
msa_chk_00102,msa_con_00095
msa_chk_00103,msa_con_00096
msa_chk_00104,msa_con_00097
msa_chk_00105,msa_con_00098
msa_chk_00106,msa_con_00099
msa_chk_00107,msa_con_00100
msa_chk_00108,msa_con_00101
msa_chk_00109,msa_con_00102
msa_chk_00110,msa_con_00103
msa_chk_00111,msa_con_00104
msa_chk_00112,msa_con_00105
msa_chk_00113,msa_con_00106
msa_chk_00114,msa_con_00107
msa_chk_00115,msa_con_00108
msa_chk_00116,msa_con_00109
msa_chk_00117,msa_con_00110
msa_chk_00118,msa_con_00111
msa_chk_00119,msa_con_00112
msa_chk_00120,msa_con_00113
msa_chk_00121,msa_con_00114
msa_chk_00122,msa_con_00115
msa_chk_00123,msa_con_00116
msa_chk_00124,msa_con_00117
msa_chk_00125,msa_con_00118
msa_chk_00126,msa_con_00119
msa_chk_00127,msa_con_00120
msa_chk_00128,msa_con_00121
msa_chk_00129,msa_con_00122
msa_chk_00130,msa_con_00123
msa_chk_00131,msa_con_00124
msa_chk_00132,msa_con_00125
msa_chk_00133,msa_con_00126
msa_chk_00134,msa_con_00127
msa_chk_00135,msa_con_00128
msa_chk_00136,msa_con_00129
msa_chk_00137,msa_con_00130
msa_chk_00138,msa_con_00131
msa_chk_00139,msa_con_00132
msa_chk_00140,msa_con_00133
msa_chk_00141,msa_con_00134
msa_chk_00142,msa_con_00135
msa_chk_00143,msa_con_00136
msa_chk_00144,msa_con_00137
msa_chk_00145,msa_con_00138
msa_chk_00146,msa_con_00139
msa_chk_00147,msa_con_00140
msa_chk_00148,msa_con_00141
msa_chk_00149,msa_con_00142
msa_chk_00150,msa_con_00143
msa_chk_00151,msa_con_00144
msa_chk_00152,msa_con_00145
msa_chk_00153,msa_con_00146
msa_chk_00154,msa_con_00147
msa_chk_00155,msa_con_00148
msa_chk_00156,msa_con_00149
msa_chk_00157,msa_con_00150
msa_chk_00158,msa_con_00151
msa_chk_00159,msa_con_00152
msa_chk_00160,msa_con_00153
msa_chk_00161,msa_con_00154
msa_chk_00162,msa_con_00155
msa_chk_00163,msa_con_00156
msa_chk_00164,msa_con_00157
msa_chk_00165,msa_con_00158
msa_chk_00166,msa_con_00159
msa_chk_00167,msa_con_00160
msa_chk_00168,msa_con_00161
msa_chk_00169,msa_con_00162
msa_chk_00170,msa_con_00163
msa_chk_00171,msa_con_00164
msa_chk_00172,msa_con_00165
msa_chk_00173,msa_con_00166
msa_chk_00174,msa_con_00167
msa_chk_00175,msa_con_00168
msa_chk_00176,msa_con_00169
msa_chk_00177,msa_con_00170
msa_chk_00178,msa_con_00171
msa_chk_00179,msa_con_00172
msa_chk_00180,msa_con_00173
msa_chk_00181,msa_con_00174
msa_chk_00182,msa_con_00175
msa_chk_00183,msa_con_00176
msa_chk_00184,msa_con_00177
msa_chk_00185,msa_con_00178
msa_chk_00186,msa_con_00179
msa_chk_00187,msa_con_00180
msa_chk_00188,msa_con_00181
msa_chk_00189,msa_con_00182
msa_chk_00190,msa_con_00183
msa_chk_00191,msa_con_00184
msa_chk_00192,msa_con_00185
msa_chk_00193,msa_con_00186
msa_chk_00194,msa_con_00187
msa_chk_00195,msa_con_00188
msa_chk_00196,msa_con_00189
msa_chk_00197,msa_con_00190
msa_chk_00198,msa_con_00191
msa_chk_00199,msa_con_00192
msa_chk_00200,msa_con_00193
msa_chk_00201,msa_con_00194
msa_chk_00202,msa_con_00195
msa_chk_00203,msa_con_00196
msa_chk_00204,msa_con_00197
msa_chk_00205,msa_con_00198
msa_chk_00206,msa_con_00199
msa_chk_00207,msa_con_00200
msa_chk_00208,msa_con_00201
msa_chk_00209,msa_con_00202
msa_chk_00210,msa_con_00203
msa_chk_00211,msa_con_00204
msa_chk_00212,msa_con_00205
msa_chk_00213,msa_con_00206
msa_chk_00214,msa_con_00207
msa_chk_00215,msa_con_00208
msa_chk_00216,msa_con_00209
msa_chk_00217,msa_con_00210
msa_chk_00218,msa_con_00211
msa_chk_00219,msa_con_00212
msa_chk_00220,msa_con_00213
msa_chk_00221,msa_con_00214
msa_chk_00222,msa_con_00215
msa_chk_00223,msa_con_00216
msa_chk_00224,msa_con_00217
msa_chk_00225,msa_con_00218
msa_chk_00226,msa_con_00219
msa_chk_00227,msa_con_00220
msa_chk_00228,msa_con_00221
msa_chk_00229,msa_con_00222
msa_chk_00230,msa_con_00223
msa_chk_00231,msa_con_00224
msa_chk_00232,msa_con_00225
msa_chk_00233,msa_con_00226
msa_chk_00234,msa_con_00227
msa_chk_00235,msa_con_00228
msa_chk_00236,msa_con_00229
msa_chk_00237,msa_con_00230
msa_chk_00238,msa_con_00231
msa_chk_00239,msa_con_00232
msa_chk_00240,msa_con_00233
msa_chk_00241,msa_con_00234
msa_chk_00242,msa_con_00235
msa_chk_00243,msa_con_00236
msa_chk_00244,msa_con_00237
msa_chk_00245,msa_con_00238
msa_chk_00246,msa_con_00239
msa_chk_00247,msa_con_00240
msa_chk_00248,msa_con_00241
msa_chk_00249,msa_con_00242
msa_chk_00250,msa_con_00243
msa_chk_00251,msa_con_00244
msa_chk_00252,msa_con_00245
msa_chk_00253,msa_con_00246
msa_chk_00254,msa_con_00247
msa_chk_00255,msa_con_00248
msa_chk_00256,msa_con_00249
msa_chk_00257,msa_con_00250
msa_chk_00258,msa_con_00251
msa_chk_00259,msa_con_00252
msa_chk_00260,msa_con_00253
msa_chk_00261,msa_con_00254
msa_chk_00262,msa_con_00255
msa_chk_00263,msa_con_00256
msa_chk_00264,msa_con_00257
msa_chk_00265,msa_con_00258
msa_chk_00266,msa_con_00259
msa_chk_00267,msa_con_00260
msa_chk_00268,msa_con_00261
msa_chk_00269,msa_con_00262
msa_chk_00270,msa_con_00263
msa_chk_00271,msa_con_00264
msa_chk_00272,msa_con_00265
msa_chk_00273,msa_con_00266
msa_chk_00274,msa_con_00267
msa_chk_00275,msa_con_00268
msa_chk_00276,msa_con_00269
msa_chk_00277,msa_con_00270
msa_chk_00278,msa_con_00271
msa_chk_00279,msa_con_00272
msa_chk_00280,msa_con_00273
msa_chk_00281,msa_con_00274
msa_chk_00282,msa_con_00275
msa_chk_00283,msa_con_00276
msa_chk_00284,msa_con_00277
msa_chk_00285,msa_con_00278
msa_chk_00286,msa_con_00279
msa_chk_00287,msa_con_00280
msa_chk_00288,msa_con_00281
msa_chk_00289,msa_con_00282
msa_chk_00290,msa_con_00283
msa_chk_00291,msa_con_00284
msa_chk_00292,msa_con_00285
msa_chk_00293,msa_con_00286
msa_chk_00294,msa_con_00287
msa_chk_00295,msa_con_00288
